travel_time,Date,Time
821,3/1/2010,14:58:00
804,3/1/2010,15:01:00
892,3/1/2010,15:04:00
857,3/1/2010,15:07:00
849,3/1/2010,15:10:00
895,3/1/2010,15:13:00
844,3/1/2010,15:16:00
841,3/1/2010,15:19:00
847,3/1/2010,15:22:00
869,3/1/2010,15:25:00
991,3/1/2010,15:28:00
944,3/1/2010,15:31:00
894,3/1/2010,15:34:00
926,3/1/2010,15:37:00
947,3/1/2010,15:40:00
902,3/1/2010,15:43:00
904,3/1/2010,15:46:00
840,3/1/2010,15:49:00
893,3/1/2010,15:52:00
898,3/1/2010,15:55:00
916,3/1/2010,15:58:00
874,3/1/2010,16:01:00
883,3/1/2010,16:04:00
868,3/1/2010,16:07:00
927,3/1/2010,16:10:00
974,3/1/2010,16:13:00
1041,3/1/2010,16:16:00
1263,3/1/2010,16:19:00
1414,3/1/2010,16:22:00
1722,3/1/2010,16:25:00
2071,3/1/2010,16:28:00
2135,3/1/2010,16:31:00
2259,3/1/2010,16:34:00
2474,3/1/2010,16:37:00
2931,3/1/2010,16:40:00
2771,3/1/2010,16:43:00
1851,3/1/2010,16:46:00
1724,3/1/2010,16:49:00
2385,3/1/2010,16:52:00
2695,3/1/2010,16:55:00
1964,3/1/2010,16:58:00
1717,3/1/2010,17:01:00
2054,3/1/2010,17:04:00
2054,3/1/2010,17:07:00
2186,3/1/2010,17:10:00
2061,3/1/2010,17:13:00
2400,3/1/2010,17:16:00
2603,3/1/2010,17:19:00
2110,3/1/2010,17:22:00
2051,3/1/2010,17:25:00
1637,3/1/2010,17:28:00
1885,3/1/2010,17:31:00
2142,3/1/2010,17:34:00
2503,3/1/2010,17:37:00
2397,3/1/2010,17:40:00
2087,3/1/2010,17:43:00
2034,3/1/2010,17:46:00
1850,3/1/2010,17:49:00
2115,3/1/2010,17:52:00
2044,3/1/2010,17:55:00
2443,3/1/2010,17:58:00
1833,3/1/2010,18:01:00
1340,3/1/2010,18:04:00
1866,3/1/2010,18:07:00
2339,3/1/2010,18:10:00
2296,3/1/2010,18:13:00
2262,3/1/2010,18:16:00
2993,3/1/2010,18:19:00
3646,3/1/2010,18:22:00
2814,3/1/2010,18:25:00
2477,3/1/2010,18:28:00
3331,3/1/2010,18:31:00
3751,3/1/2010,18:34:00
3567,3/1/2010,18:37:00
3065,3/1/2010,18:40:00
2557,3/1/2010,18:43:00
2783,3/1/2010,18:46:00
2563,3/1/2010,18:49:00
2542,3/1/2010,18:52:00
2635,3/1/2010,18:55:00
1947,3/1/2010,18:58:00
1681,3/1/2010,19:01:00
1570,3/1/2010,19:04:00
1223,3/1/2010,19:07:00
1007,3/1/2010,19:10:00
937,3/1/2010,19:13:00
944,3/1/2010,19:16:00
847,3/1/2010,19:19:00
891,3/1/2010,19:22:00
838,3/1/2010,19:25:00
845,3/1/2010,19:28:00
840,3/1/2010,19:31:00
850,3/1/2010,19:34:00
809,3/1/2010,19:37:00
835,3/1/2010,19:40:00
832,3/1/2010,19:43:00
816,3/1/2010,19:46:00
784,3/1/2010,19:49:00
809,3/1/2010,19:52:00
801,3/1/2010,19:55:00
802,3/1/2010,19:58:00
833,3/1/2010,20:01:00
820,3/1/2010,20:04:00
793,3/1/2010,20:07:00
817,3/1/2010,20:10:00
864,3/1/2010,20:13:00
847,3/1/2010,20:16:00
816,3/1/2010,20:19:00
812,3/1/2010,20:22:00
837,3/1/2010,20:25:00
799,3/1/2010,20:28:00
797,3/1/2010,20:31:00
808,3/1/2010,20:34:00
799,3/1/2010,20:37:00
817,3/1/2010,20:40:00
797,3/1/2010,20:43:00
819,3/1/2010,20:46:00
834,3/1/2010,20:49:00
833,3/1/2010,20:52:00
833,3/1/2010,20:55:00
816,3/1/2010,20:58:00
844,3/1/2010,21:01:00
797,3/1/2010,21:04:00
835,3/1/2010,21:07:00
818,3/1/2010,21:10:00
810,3/1/2010,21:13:00
820,3/1/2010,21:16:00
830,3/1/2010,21:19:00
770,3/1/2010,21:22:00
814,3/1/2010,21:25:00
790,3/1/2010,21:28:00
788,3/1/2010,21:31:00
813,3/1/2010,21:34:00
818,3/1/2010,21:37:00
806,3/1/2010,21:40:00
838,3/1/2010,21:43:00
815,3/1/2010,21:46:00
797,3/1/2010,21:49:00
800,3/1/2010,21:52:00
804,3/1/2010,21:55:00
822,3/1/2010,21:58:00
822,3/1/2010,22:01:00
797,3/1/2010,22:04:00
780,3/1/2010,22:07:00
807,3/1/2010,22:10:00
765,3/1/2010,22:13:00
785,3/1/2010,22:16:00
783,3/1/2010,22:19:00
806,3/1/2010,22:22:00
769,3/1/2010,22:25:00
813,3/1/2010,22:28:00
839,3/1/2010,22:31:00
845,3/1/2010,22:34:00
834,3/1/2010,22:37:00
820,3/1/2010,22:40:00
788,3/1/2010,22:43:00
804,3/1/2010,22:46:00
792,3/1/2010,22:49:00
805,3/1/2010,22:52:00
793,3/1/2010,22:55:00
779,3/1/2010,22:58:00
801,3/1/2010,23:01:00
806,3/1/2010,23:04:00
769,3/1/2010,23:07:00
792,3/1/2010,23:10:00
789,3/1/2010,23:13:00
791,3/1/2010,23:16:00
796,3/1/2010,23:19:00
785,3/1/2010,23:22:00
801,3/1/2010,23:25:00
788,3/1/2010,23:28:00
798,3/1/2010,23:31:00
761,3/1/2010,23:34:00
765,3/1/2010,23:37:00
791,3/1/2010,23:40:00
781,3/1/2010,23:43:00
753,3/1/2010,23:46:00
794,3/1/2010,23:49:00
775,3/1/2010,23:52:00
773,3/1/2010,23:55:00
774,3/1/2010,23:58:00
768,3/2/2010,0:01:00
759,3/2/2010,0:04:00
781,3/2/2010,0:07:00
755,3/2/2010,0:10:00
754,3/2/2010,0:13:00
747,3/2/2010,0:16:00
749,3/2/2010,0:19:00
740,3/2/2010,0:22:00
731,3/2/2010,0:25:00
751,3/2/2010,0:28:00
765,3/2/2010,0:31:00
766,3/2/2010,0:34:00
795,3/2/2010,0:37:00
793,3/2/2010,0:40:00
750,3/2/2010,0:43:00
768,3/2/2010,0:46:00
753,3/2/2010,0:49:00
777,3/2/2010,0:52:00
769,3/2/2010,0:55:00
742,3/2/2010,0:58:00
769,3/2/2010,1:01:00
806,3/2/2010,1:04:00
788,3/2/2010,1:07:00
733,3/2/2010,1:10:00
763,3/2/2010,1:13:00
759,3/2/2010,1:16:00
802,3/2/2010,1:19:00
754,3/2/2010,1:22:00
767,3/2/2010,1:25:00
731,3/2/2010,1:28:00
738,3/2/2010,1:31:00
733,3/2/2010,1:34:00
768,3/2/2010,1:37:00
767,3/2/2010,1:40:00
800,3/2/2010,1:43:00
798,3/2/2010,1:46:00
809,3/2/2010,1:49:00
819,3/2/2010,1:52:00
808,3/2/2010,1:55:00
778,3/2/2010,1:58:00
671,3/2/2010,2:01:00
760,3/2/2010,2:04:00
750,3/2/2010,2:07:00
745,3/2/2010,2:10:00
736,3/2/2010,2:13:00
775,3/2/2010,2:16:00
782,3/2/2010,2:19:00
766,3/2/2010,2:22:00
777,3/2/2010,2:25:00
737,3/2/2010,2:28:00
786,3/2/2010,2:31:00
781,3/2/2010,2:34:00
778,3/2/2010,2:37:00
759,3/2/2010,2:40:00
815,3/2/2010,2:43:00
809,3/2/2010,2:46:00
738,3/2/2010,2:49:00
802,3/2/2010,2:52:00
769,3/2/2010,2:55:00
767,3/2/2010,2:58:00
778,3/2/2010,3:01:00
765,3/2/2010,3:04:00
767,3/2/2010,3:07:00
682,3/2/2010,3:10:00
791,3/2/2010,3:13:00
804,3/2/2010,3:16:00
816,3/2/2010,3:19:00
755,3/2/2010,3:22:00
813,3/2/2010,3:25:00
795,3/2/2010,3:28:00
749,3/2/2010,3:31:00
812,3/2/2010,3:34:00
773,3/2/2010,3:37:00
687,3/2/2010,3:40:00
780,3/2/2010,3:43:00
759,3/2/2010,3:46:00
707,3/2/2010,3:49:00
792,3/2/2010,3:52:00
771,3/2/2010,3:55:00
729,3/2/2010,3:58:00
766,3/2/2010,4:01:00
787,3/2/2010,4:04:00
710,3/2/2010,4:07:00
729,3/2/2010,4:10:00
729,3/2/2010,4:13:00
735,3/2/2010,4:16:00
707,3/2/2010,4:19:00
683,3/2/2010,4:22:00
756,3/2/2010,4:25:00
756,3/2/2010,4:28:00
761,3/2/2010,4:31:00
729,3/2/2010,4:34:00
734,3/2/2010,4:37:00
718,3/2/2010,4:40:00
799,3/2/2010,4:43:00
760,3/2/2010,4:46:00
791,3/2/2010,4:49:00
746,3/2/2010,4:52:00
754,3/2/2010,4:55:00
733,3/2/2010,4:58:00
773,3/2/2010,5:01:00
750,3/2/2010,5:04:00
719,3/2/2010,5:07:00
714,3/2/2010,5:10:00
742,3/2/2010,5:13:00
738,3/2/2010,5:16:00
751,3/2/2010,5:19:00
760,3/2/2010,5:22:00
738,3/2/2010,5:25:00
742,3/2/2010,5:28:00
753,3/2/2010,5:31:00
747,3/2/2010,5:34:00
741,3/2/2010,5:37:00
763,3/2/2010,5:40:00
758,3/2/2010,5:43:00
757,3/2/2010,5:46:00
757,3/2/2010,5:49:00
753,3/2/2010,5:52:00
782,3/2/2010,5:55:00
758,3/2/2010,5:58:00
747,3/2/2010,6:01:00
767,3/2/2010,6:04:00
757,3/2/2010,6:07:00
794,3/2/2010,6:10:00
774,3/2/2010,6:13:00
784,3/2/2010,6:16:00
787,3/2/2010,6:19:00
811,3/2/2010,6:22:00
798,3/2/2010,6:25:00
835,3/2/2010,6:28:00
797,3/2/2010,6:31:00
808,3/2/2010,6:34:00
846,3/2/2010,6:37:00
816,3/2/2010,6:40:00
799,3/2/2010,6:43:00
829,3/2/2010,6:46:00
796,3/2/2010,6:49:00
805,3/2/2010,6:52:00
828,3/2/2010,6:55:00
822,3/2/2010,6:58:00
812,3/2/2010,7:01:00
821,3/2/2010,7:04:00
847,3/2/2010,7:07:00
840,3/2/2010,7:10:00
838,3/2/2010,7:13:00
856,3/2/2010,7:16:00
861,3/2/2010,7:19:00
864,3/2/2010,7:22:00
856,3/2/2010,7:25:00
863,3/2/2010,7:28:00
834,3/2/2010,7:31:00
861,3/2/2010,7:34:00
871,3/2/2010,7:37:00
875,3/2/2010,7:40:00
842,3/2/2010,7:43:00
897,3/2/2010,7:46:00
891,3/2/2010,7:49:00
880,3/2/2010,7:52:00
877,3/2/2010,7:55:00
890,3/2/2010,7:58:00
891,3/2/2010,8:01:00
910,3/2/2010,8:04:00
848,3/2/2010,8:07:00
860,3/2/2010,8:10:00
884,3/2/2010,8:13:00
891,3/2/2010,8:16:00
887,3/2/2010,8:19:00
854,3/2/2010,8:22:00
921,3/2/2010,8:25:00
883,3/2/2010,8:28:00
857,3/2/2010,8:31:00
886,3/2/2010,8:34:00
861,3/2/2010,8:37:00
851,3/2/2010,8:40:00
873,3/2/2010,8:43:00
880,3/2/2010,8:46:00
911,3/2/2010,8:49:00
867,3/2/2010,8:52:00
843,3/2/2010,8:55:00
841,3/2/2010,8:58:00
876,3/2/2010,9:01:00
857,3/2/2010,9:04:00
844,3/2/2010,9:07:00
830,3/2/2010,9:10:00
830,3/2/2010,9:13:00
871,3/2/2010,9:16:00
873,3/2/2010,9:19:00
858,3/2/2010,9:22:00
814,3/2/2010,9:25:00
828,3/2/2010,9:28:00
857,3/2/2010,9:31:00
831,3/2/2010,9:34:00
840,3/2/2010,9:37:00
832,3/2/2010,9:40:00
838,3/2/2010,9:43:00
840,3/2/2010,9:46:00
811,3/2/2010,9:49:00
822,3/2/2010,9:52:00
846,3/2/2010,9:55:00
834,3/2/2010,9:58:00
810,3/2/2010,10:01:00
797,3/2/2010,10:04:00
854,3/2/2010,10:07:00
805,3/2/2010,10:10:00
862,3/2/2010,10:13:00
825,3/2/2010,10:16:00
810,3/2/2010,10:19:00
817,3/2/2010,10:22:00
839,3/2/2010,10:25:00
808,3/2/2010,10:28:00
828,3/2/2010,10:31:00
842,3/2/2010,10:34:00
796,3/2/2010,10:37:00
787,3/2/2010,10:40:00
825,3/2/2010,10:43:00
796,3/2/2010,10:46:00
827,3/2/2010,10:49:00
819,3/2/2010,10:52:00
818,3/2/2010,10:55:00
